,id,tid1,tid2,title1_zh,title2_zh,title1_en,title2_en,label
0,68,83,84,(5毛钱的特效)2014浙江手机实拍UFO不明飞行物！,国际空间站实拍UFO飞碟离开地球瞬间 精彩影像,(50 cents special effect) 2014 Zhejiang mobile phone UFOs UFO UFO!,The International Space Station Captures UfO Flying UFOs from the Earth,agreed
1,66,58,60,#谁也挡不住你的微笑# 专治疗颈椎病腰间盘突出，中药泡酒喝,#在哪健身不是健身# 专治疗颈椎病腰间盘突出中药泡酒喝,# No one can stop your smile #,"# Where to work out, not to exercise # Specialized in treating cervical spondylosis",agreed
2,69,83,85,(5毛钱的特效)2014浙江手机实拍UFO不明飞行物！,实拍UFO拖蓝色光尾穿越云层：犹如科幻大片,(50 cents special effect) 2014 Zhejiang mobile phone UFOs UFO UFO!,Photo UFOs pull blue tails through the clouds: it's like a sci-fi movie,agreed
3,70,83,86,(5毛钱的特效)2014浙江手机实拍UFO不明飞行物！,辟谣：10秒钟工厂爆炸视频 实拍并不是常宁市水口山,(50 cents special effect) 2014 Zhejiang mobile phone UFOs UFO UFO!,Disclaimer: 10 seconds factory explosion video is not in changningshi yamaguchi mountain,disagreed
4,524,604,607,10年颈椎病，竟被南瓜子治好了，颈椎病3天见效，7天去根不复发！,《香蜜》原定男主不是邓伦，而是从韩国男团回来的他,"Ten years of cervical spondylosis, was actually cured by pumpkin seeds, cervical spondylosis 3 days effect, 7 days to root do not recur!",It was not Dun-lun who originally intended to be the man of Honey. He came back from the Korean men's group.,unrelated
5,528,604,608,10年颈椎病，竟被南瓜子治好了，颈椎病3天见效，7天去根不复发！,《香蜜》原男主非邓伦，竟是颜值超高的他，网友：跪谢不演之恩,"Ten years of cervical spondylosis, was actually cured by pumpkin seeds, cervical spondylosis 3 days effect, 7 days to root do not recur!","""Fragrant Honeydew"" the original male of non-Deng Dun, is the color of the ultra-high him, netizens: genuineness and genuineness.",unrelated
6,594,672,678,10月15号起：驾驶证替人销分新规已全面实施，被查住扣12分罚5000,谣言粉碎机启动：驾照不能随意帮人销分了？切勿断章取义,"Starting October 15: New rules for driving license renewal have been fully implemented, and a 12 penalty fine of 5, 000 yuan is imposed.",Rumour Crushing Starter: Driver's license can't be revoked arbitrarily? Do not take it out of context,unrelated
7,591,672,679,10月15号起：驾驶证替人销分新规已全面实施，被查住扣12分罚5000,新闻早知道｜甘肃手机报（2017.9.15）｜手机APP处理交通违法只交罚款不扣分纯属谣言！,"Starting October 15: New rules for driving license renewal have been fully implemented, and a 12 penalty fine of 5, 000 yuan is imposed.",News has known that the Gansu Gansu Mobile Phone (2017.9.15) Mobile phone APP traffic violations only pay fines not deduction is pure rumors!,unrelated
8,590,672,680,10月15号起：驾驶证替人销分新规已全面实施，被查住扣12分罚5000,别上当！“7月起替人销分者吊销驾照”是假消息,"Starting October 15: New rules for driving license renewal have been fully implemented, and a 12 penalty fine of 5, 000 yuan is imposed.",Don't fall for it! '' Lifesavers' license revoked in July. '' That's a lie.,unrelated
9,596,672,681,10月15号起：驾驶证替人销分新规已全面实施，被查住扣12分罚5000,辟谣！用他人驾照代扣分要暂扣驾照6个月，罚款2000元？！假的！,"Starting October 15: New rules for driving license renewal have been fully implemented, and a 12 penalty fine of 5, 000 yuan is imposed.","False rumor! Use another person's driver's license deduction to withhold the driver's license 6 months, fine 2000 yuan?! Fake!",unrelated
10,592,672,682,10月15号起：驾驶证替人销分新规已全面实施，被查住扣12分罚5000,网警辟谣：10月10日起到10月30日之前大货车处理违章不用扣分,"Starting October 15: New rules for driving license renewal have been fully implemented, and a 12 penalty fine of 5, 000 yuan is imposed.","Online Police: 10 Oct. to 30 Oct., no penalty points are required for the handling of large trucks before October 30",unrelated
11,595,672,683,10月15号起：驾驶证替人销分新规已全面实施，被查住扣12分罚5000,辟谣！交通新规10月15日开始实施，扣分罚款大升级？假的！,"Starting October 15: New rules for driving license renewal have been fully implemented, and a 12 penalty fine of 5, 000 yuan is imposed.","The new traffic regulations began to be implemented on Oct. 15, the penalty points penalty greatly escalated? Fake!",unrelated
12,598,672,684,10月15号起：驾驶证替人销分新规已全面实施，被查住扣12分罚5000,重大新闻：从10月15日起，机动车驾驶证“替人销分”新规正式执行,"Starting October 15: New rules for driving license renewal have been fully implemented, and a 12 penalty fine of 5, 000 yuan is imposed.","Big news: new regulations on ""matchmaking"" for motor vehicle drivers will be implemented as of oct. 15",agreed
13,597,672,685,10月15号起：驾驶证替人销分新规已全面实施，被查住扣12分罚5000,辟谣｜新扣分细则将要实施？私家车年检又出新规？还有替人销分的那些事儿！,"Starting October 15: New rules for driving license renewal have been fully implemented, and a 12 penalty fine of 5, 000 yuan is imposed.",The new rules will be put into practice? The annual inspection of private cars and new regulations? And those who sell points to the other things!,unrelated
14,602,686,672,10月17号起：驾驶证替人销分惩罚已全面实施，被查住扣12分罚5000,10月15号起：驾驶证替人销分新规已全面实施，被查住扣12分罚5000,"Oct. 17: Driver's license has been fully enforced, and the penalty is 12 points and 5 points.","Starting October 15: New rules for driving license renewal have been fully implemented, and a 12 penalty fine of 5, 000 yuan is imposed.",agreed
15,600,687,688,10月15日执行新的交通法规,狂风暴雨后重庆空中现“天龙” 市民：祥瑞之兆,The new traffic regulations are enforced on October 15th.,Chongqing Sky People in the Air of Chongqing: Signs of auspiciousness,unrelated
16,603,686,689,10月17号起：驾驶证替人销分惩罚已全面实施，被查住扣12分罚5000,交警提醒：驾驶证“替人销分”新规出台，驾驶证代扣分已成过去式,"Oct. 17: Driver's license has been fully enforced, and the penalty is 12 points and 5 points.","The driver's license has become a thing of the past, according to the new regulation issued by the driver.",unrelated
17,601,690,691,10月16日起新交规执行,有眼袋千万别慌，药店有个医用乳膏，3次没眼袋不输激光,Implementation of new regulations on 16 October,"Don't panic if you have pouch. There's a medical cream at the pharmacy, no pouch for three times, no laser.",unrelated
18,605,692,693,10月17号起：驾驶证替人销分新规已全面实施，被查住扣12分罚5000,「应急动态」金湾的司机们注意了！“驾照销分有新规定”是谣言！,"Starting October 17: New rules for driving license renewal have been fully implemented, and a 12 penalty fine of 5, 000 yuan is imposed.","""Emergency Dynamic"" Golden Cove drivers, attention! ""New regulations for driving licence"" is a rumor!",unrelated
19,599,672,694,10月15号起：驾驶证替人销分新规已全面实施，被查住扣12分罚5000,青岛交通违法处理大厅全是人交警辟谣：你们误会“销分新规”了,"Starting October 15: New rules for driving license renewal have been fully implemented, and a 12 penalty fine of 5, 000 yuan is imposed.","Qingdao traffic illegal handling hall is full of people traffic police refutes rumor: You misunderstand ""the new regulation of sales""",unrelated
